id,location_type,species,common_name,space_type,address,street,side,dbh,stems,height,space_length,space_width,overhead_utilities,hardscape,cultivar,date,notes,longitude,latitude,x,y
227554,Street,Cercis canadensis,"redbud, eastern",Tree Lawn,2518,OAKLEY AVE,Front,12,3,18,16,5,None,None, ,"5/1/2017, 8:00 PM",cavity or decay,-76.66086056,39.34904325,1408241.9482954293,612890.8935641795
227560,Street,Pyrus calleryana,"pear, callery",Open/Unrestricted,2528,OAKLEY AVE,Front,5,3,23,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.66180391,39.34905758,1407975.1512568444,612895.1255110949
227563,Street,Acer platanoides,"maple, Norway",Tree Lawn,2604,OAKLEY AVE,Front,8.3,1,20,13,5,None,None, ,"5/1/2017, 8:00 PM", ,-76.66242354,39.3490041,1407799.99314259,612874.9959581792
227564,Street,Juniperus virginiana,"redcedar, eastern",Open/Unrestricted,2604,OAKLEY AVE,Front,5,2,18,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.66251481,39.3490267,1407774.1519869268,612883.1347214282
227565,Street,Prunus spp.,"cherry/plum, spp.",Open/Unrestricted,2604,OAKLEY AVE,Front,6,1,13,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.66251196,39.34902229,1407774.9643212557,612881.531050086
227566,Street,Prunus serotina,"cherry, black",Open/Unrestricted,2604,OAKLEY AVE,Front,20,1,55,>20,>20,None,None, ,"5/1/2017, 8:00 PM",DBH estimated,-76.66251766,39.34904049,1407773.3268573433,612888.1527560055
227567,Street,Juniperus virginiana,"redcedar, eastern",Open/Unrestricted,2606,OAKLEY AVE,Front,18,1,45,>20,15,None,None, ,"5/1/2017, 8:00 PM",DBH estimated,-76.6625797,39.34903387,1407755.7924435884,612885.677695334
227570,Street,Juniperus virginiana,"redcedar, eastern",Open/Unrestricted,2610,OAKLEY AVE,Front,12.8,1,45,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.66297543,39.34901678,1407643.9019193351,612879.0382729173
227571,Street,Juniperus virginiana,"redcedar, eastern",Open/Unrestricted,2610,OAKLEY AVE,Side,12.9,1,45,>20,>20,None,None, ,"5/1/2017, 8:00 PM",DBH at 1.5,-76.66299754,39.34902781,1407637.6358557642,612883.0320313424
227578,Street,Morus alba,"mulberry, white",Tree Lawn,2528,OAKLEY AVE,Side,17.5,1,40,>20,4,None,None, ,"5/1/2017, 8:00 PM", ,-76.66184455,39.3491651,1407963.5125005841,612934.2461677492
227584,Street,Platanus x acerifolia,"planetree, London",Tree Lawn,6115,BILTMORE AVE,Front,24,1,55,>20,3,None,None, ,"5/1/2017, 8:00 PM", ,-76.69321645,39.3569128,1399082.1093316674,615724.9095496684
227585,Street,Platanus x acerifolia,"planetree, London",Tree Lawn,6115,BILTMORE AVE,Front,32.5,1,55,>20,3,Electric,None, ,"5/1/2017, 8:00 PM", ,-76.69309737,39.35684333,1399115.865497753,615699.7199674994
227586,Street,Platanus x acerifolia,"planetree, London",Tree Lawn,6115,BILTMORE AVE,Front,33.6,1,55,>20,3,None,None, ,"5/1/2017, 8:00 PM", ,-76.69296403,39.35677772,1399153.6495429277,615675.9496738464
227587,Street,Zelkova serrata,"zelkova, Japanese",Tree Lawn,6110,BILTMORE AVE,Front,22.4,1,55,>20,3,Electric,None, ,"5/1/2017, 8:00 PM", ,-76.69284068,39.35663272,1399188.7081998438,615623.2526007593
